Time,Roll,Pitch,Data,Yaw,x,y,z,roll,pitch,yaw,desired x,desired y,desired z,desired yaw
"0.84 sec",0.09175981,-0.1327966,1.761565,0.09088805,0.328997254371643,0.0749316737055779,-7.01707363128662,0.1780582,-0.03111258,0.01090575,0.6831015,0.1549778,-7.041701,0.2235022
"0.85 sec",0.1352091,-0.1973994,1.195928,0.0891147,0.335869133472443,0.0765563920140266,-7.01854944229126,0.1789449,-0.05410689,0.03072514,0.6831015,0.1549778,-7.041701,0.2235022
"0.86 sec",0.09622239,-0.1904671,1.1889,0.08740065,0.342776030302048,0.0782099962234497,-7.01978969573975,0.1798019,-0.08417218,0.05388551,0.6831015,0.1549778,-7.041701,0.2235022
"0.87 sec",0.02041447,0.06398607,1.164626,0.08571193,0.349726468324661,0.0799038633704185,-7.02064275741577,0.1806462,-0.1148554,0.07246166,0.6831015,0.1549778,-7.041701,0.2235022
"0.88 sec",-0.05933733,0.1577976,1.392895,0.08400598,0.356733590364456,0.0816504806280136,-7.02109813690186,0.1814992,-0.1095535,0.0740689,0.6831015,0.1549778,-7.041701,0.2235022
"0.89 sec",-0.09381305,0.1370468,1.7126,0.08241448,0.363798081874847,0.0834541693329811,-7.02120351791382,0.182295,-0.06307377,0.05484181,0.6831015,0.1549778,-7.041701,0.2235022
"0.9 sec",0.1344069,-0.1979426,1.195928,0.1070193,0.370901077985764,0.0853064358234406,-7.0210976600647,0.1830294,-0.007859492,0.02260635,0.75179,0.1771203,-7.038079,0.2365391
"0.91 sec",0.1125818,-0.1655426,1.424338,0.1049466,0.378011167049408,0.0871799141168594,-7.02074384689331,0.1840658,-0.001359709,0.01642803,0.75179,0.1771203,-7.038079,0.2365391
"0.92 sec",0.07565434,-0.1109484,2.113961,0.1029058,0.385122239589691,0.0890659540891647,-7.02006101608276,0.1850862,-0.03397034,0.03499852,0.75179,0.1771203,-7.038079,0.2365391
"0.93 sec",0.06584225,-0.09667429,2.42487,0.1008993,0.39225822687149,0.0909887552261353,-7.0192723274231,0.1860894,-0.06347983,0.05162979,0.75179,0.1771203,-7.038079,0.2365391
"0.94 sec",0.06466181,-0.09513598,2.465453,0.09889615,0.399453312158585,0.0929816141724586,-7.01862907409668,0.187091,-0.080286,0.06035588,0.75179,0.1771203,-7.038079,0.2365391
"0.95 sec",0.04970196,-0.09592083,2.361844,0.09691969,0.406730085611343,0.0950644686818123,-7.01822090148926,0.1880792,-0.08854458,0.06400392,0.75179,0.1771203,-7.038079,0.2365391
"0.96 sec",-0.04214376,-0.07580541,2.21378,0.09497926,0.414096742868423,0.0972426384687424,-7.01803255081177,0.1890494,-0.09249591,0.06352374,0.75179,0.1771203,-7.038079,0.2365391
"0.97 sec",-0.07562964,0.1120944,2.099448,0.09307882,0.421553283929825,0.0995106920599937,-7.01800203323364,0.1899997,-0.09204899,0.04997807,0.75179,0.1771203,-7.038079,0.2365391
"0.98 sec",-0.07902759,0.1174024,2.006685,0.0912801,0.429094791412354,0.10184907913208,-7.01806449890137,0.190899,-0.06684442,0.02388808,0.75179,0.1771203,-7.038079,0.2365391
"0.99 sec",-0.08112355,0.1207673,1.952485,0.08957684,0.436697840690613,0.104224473237991,-7.01817083358765,0.1917506,-0.02340981,-0.004015638,0.75179,0.1771203,-7.038079,0.2365391
"1 sec",0.05694551,-0.08472919,2.776444,0.1019101,0.444324731826782,0.106600947678089,-7.01828670501709,0.1925961,0.01802605,-0.02756729,0.8239373,0.2009285,-7.046414,0.2435511
"1.01 sec",0.05686054,-0.08478616,2.776445,0.09990284,0.451938331127167,0.10894326120615,-7.0185923576355,0.1935997,0.02707476,-0.02927432,0.8239373,0.2009285,-7.046414,0.2435511
"1.02 sec",0.05865671,-0.08766408,2.687574,0.09793362,0.459525495767593,0.111240990459919,-7.0193042755127,0.1945843,0.008039714,-0.01298166,0.8239373,0.2009285,-7.046414,0.2435511
"1.03 sec",0.09269946,-0.1393405,1.699628,0.09602031,0.467105656862259,0.113519370555878,-7.02040195465088,0.195541,-0.01636577,0.005929981,0.8239373,0.2009285,-7.046414,0.2435511
"1.04 sec",0.1227108,-0.1856922,1.283544,0.09415409,0.474700957536697,0.115806013345718,-7.02162742614746,0.1964741,-0.04392114,0.02607471,0.8239373,0.2009285,-7.046414,0.2435511
"1.05 sec",0.01449428,-0.167886,1.242277,0.09234443,0.482324153184891,0.118117608129978,-7.02262210845947,0.1973789,-0.07655005,0.04885961,0.8239373,0.2009285,-7.046414,0.2435511
"1.06 sec",-0.1064597,-0.03042227,1.413593,0.0905284,0.489988505840302,0.120467983186245,-7.02326583862305,0.1982869,-0.1059654,0.05778554,0.8239373,0.2009285,-7.046414,0.2435511
"1.07 sec",-0.09411468,0.1426269,1.664995,0.0887126,0.497712999582291,0.122867658734322,-7.02358531951904,0.1991948,-0.1112091,0.03801416,0.8239373,0.2009285,-7.046414,0.2435511
"1.08 sec",-0.08446836,0.1280819,1.852277,0.08704615,0.505512475967407,0.125310778617859,-7.02368545532227,0.2000281,-0.07689475,0.005116493,0.8239373,0.2009285,-7.046414,0.2435511
"1.09 sec",-0.07921378,0.1202481,1.972496,0.08545703,0.513375222682953,0.127771198749542,-7.02367877960205,0.2008226,-0.02500747,-0.02330667,0.8239373,0.2009285,-7.046414,0.2435511
"1.1 sec",0.05617874,-0.08523883,2.776445,0.1002042,0.521265804767609,0.130215004086494,-7.02364444732666,0.2016294,0.02015304,-0.04345396,0.9000127,0.2276238,-7.052917,0.2517315
"1.11 sec",0.05609462,-0.08529413,2.776445,0.09822881,0.529144823551178,0.132605984807014,-7.02380561828613,0.202617,0.02984339,-0.04093543,0.9000127,0.2276238,-7.052917,0.2517315
"1.12 sec",0.0615778,-0.09387255,2.525788,0.09630042,0.536997497081757,0.134935468435287,-7.02437162399292,0.2035812,0.01036595,-0.02119951,0.9000127,0.2276238,-7.052917,0.2517315
"1.13 sec",0.0886382,-0.1358026,1.753381,0.09443015,0.544842541217804,0.13723435997963,-7.02528524398804,0.2045164,-0.01539621,0.0006682621,0.9000127,0.2276238,-7.052917,0.2517315
"1.14 sec",0.1086014,-0.1672055,1.430019,0.09260246,0.55270254611969,0.139535710215569,-7.02629709243774,0.2054302,-0.04364225,0.02251903,0.9000127,0.2276238,-7.052917,0.2517315
"1.15 sec",0.09707246,-0.1668279,1.409316,0.09081724,0.560592532157898,0.141861125826836,-7.02712678909302,0.2063228,-0.0741088,0.04456605,0.9000127,0.2276238,-7.052917,0.2517315
"1.16 sec",-0.02430921,-0.008725824,1.522452,0.08905193,0.568527221679688,0.144227921962738,-7.02768325805664,0.2072055,-0.1017477,0.0626082,0.9000127,0.2276238,-7.052917,0.2517315
"1.17 sec",-0.08897078,0.1373931,1.737318,0.08727852,0.576523900032043,0.146653234958649,-7.02798509597778,0.2080922,-0.1046601,0.06082877,0.9000127,0.2276238,-7.052917,0.2517315
"1.18 sec",-0.08191638,0.1266181,1.884146,0.08561853,0.5845907330513,0.1491419672966,-7.02811241149902,0.2089222,-0.06980377,0.03614778,0.9000127,0.2276238,-7.052917,0.2517315
"1.19 sec",-0.07801741,0.1207421,1.975739,0.08406544,0.59271103143692,0.151674598455429,-7.02815961837769,0.2096987,-0.01971681,0.004914637,0.9000127,0.2276238,-7.052917,0.2517315
"1.2 sec",0.05542307,-0.08573141,2.776444,0.1026278,0.600849092006683,0.154216051101685,-7.02818918228149,0.2104799,0.02379363,-0.02128354,0.9785244,0.2554116,-7.058444,0.2617938
"1.21 sec",0.05533687,-0.085787,2.776445,0.1006152,0.608966469764709,0.15672878921032,-7.02841472625732,0.2114862,0.03224377,-0.02497699,0.9785244,0.2554116,-7.058444,0.2617938
"1.22 sec",0.06684309,-0.1039591,2.295522,0.09863043,0.617050111293793,0.159200832247734,-7.02904653549194,0.2124786,0.01181803,-0.01044102,0.9785244,0.2554116,-7.058444,0.2617938
"1.23 sec",0.09089538,-0.1420675,1.686643,0.09670818,0.625121593475342,0.161656379699707,-7.0299711227417,0.2134397,-0.01573459,0.008258344,0.9785244,0.2554116,-7.058444,0.2617938
"1.24 sec",0.104795,-0.1644681,1.461465,0.09483379,0.633205711841583,0.16412228345871,-7.03091764450073,0.2143769,-0.04599646,0.02831664,0.9785244,0.2554116,-7.058444,0.2617938
"1.25 sec",0.07642222,-0.1563649,1.477337,0.09299886,0.641320109367371,0.166617274284363,-7.03167200088501,0.2152944,-0.0768057,0.04840667,0.9785244,0.2554116,-7.058444,0.2617938
"1.26 sec",-0.03741156,0.03819077,1.598288,0.09117633,0.64948171377182,0.169158563017845,-7.03217697143555,0.2162056,-0.1025888,0.06238021,0.9785244,0.2554116,-7.058444,0.2617938
"1.27 sec",-0.08513588,0.1340505,1.790157,0.08936283,0.657707989215851,0.171761646866798,-7.03246307373047,0.2171124,-0.09846796,0.05622222,0.9785244,0.2554116,-7.058444,0.2617938
"1.28 sec",-0.07954437,0.1253941,1.913168,0.0876748,0.666002571582794,0.174426719546318,-7.0326075553894,0.2179564,-0.05931758,0.03049928,0.9785244,0.2554116,-7.058444,0.2617938
"1.29 sec",-0.07654625,0.1208401,1.985445,0.08607084,0.674343585968018,0.177130356431007,-7.03269290924072,0.2187584,-0.01034802,0.00061654,0.9785244,0.2554116,-7.058444,0.2617938
"1.3 sec",0.05464278,-0.08623011,2.776445,0.1023993,0.682694613933563,0.179837137460709,-7.03277111053467,0.2195662,0.03089892,-0.02397087,1.059226,0.2843558,-7.065853,0.2707658
"1.31 sec",0.05455607,-0.08628492,2.776444,0.1003863,0.691017866134644,0.1825100928545,-7.03304767608643,0.2205726,0.0372054,-0.02661497,1.059226,0.2843558,-7.065853,0.2707658
"1.32 sec",0.05679708,-0.09004337,2.662846,0.09840971,0.699301421642303,0.185138255357742,-7.03373003005981,0.2215609,0.01504524,-0.0115867,1.059226,0.2843558,-7.065853,0.2707658
"1.33 sec",0.08584934,-0.1368222,1.760253,0.09648925,0.70756870508194,0.187746703624725,-7.03479242324829,0.2225212,-0.01209654,0.006256892,1.059226,0.2843558,-7.065853,0.2707658
"1.34 sec",0.1102338,-0.1767011,1.369927,0.09461308,0.715846061706543,0.190363362431526,-7.0359902381897,0.2234592,-0.04123179,0.02505834,1.059226,0.2843558,-7.065853,0.2707658
"1.35 sec",0.06130037,-0.1699934,1.324547,0.09278667,0.724150121212006,0.193005785346031,-7.03699445724487,0.2243724,-0.07363144,0.04562724,1.059226,0.2843558,-7.065853,0.2707658
