Time,Roll,Pitch,Data,Yaw,x,y,z,roll,pitch,yaw
"2.618 sec",-0.01203024,-0.1013402,2.776445,0.1186109,2.24075484275818,2.87150239944458,-7.57127332687378,0.9037629,0.02263241,0.01742353
"2.619 sec",-0.0120424,-0.1013387,2.776444,0.1183705,2.24198579788208,2.87327527999878,-7.57155466079712,0.9038831,0.01962955,0.01649063
"2.62 sec",-0.01205453,-0.1013373,2.776445,0.1181307,2.24321627616882,2.8750479221344,-7.57183980941772,0.904003,0.01656905,0.01556856
"2.621 sec",-0.01206664,-0.1013359,2.776445,0.1178913,2.24444651603699,2.87682056427002,-7.57212924957275,0.9041227,0.01346707,0.01465905
"2.622 sec",-0.01207872,-0.1013344,2.776445,0.1176524,2.24567651748657,2.87859320640564,-7.57242250442505,0.9042422,0.01033815,0.01376358
"2.623 sec",-0.01209078,-0.101333,2.776445,0.117414,2.24690628051758,2.88036584854126,-7.57272005081177,0.9043614,0.007195293,0.01288343
"2.624 sec",-0.01210281,-0.1013316,2.776445,0.1171762,2.24813556671143,2.88213849067688,-7.57302188873291,0.9044803,0.004050142,0.0120197
"2.625 sec",-0.01211482,-0.1013301,2.776445,0.1169388,2.24936509132385,2.8839111328125,-7.57332754135132,0.904599,0.0009130469,0.0111733
"2.626 sec",-0.0121268,-0.1013287,2.776445,0.116702,2.25059413909912,2.8856840133667,-7.57363748550415,0.9047174,-0.002206804,0.010345
"2.627 sec",-0.01213875,-0.1013273,2.776445,0.1164657,2.25182342529297,2.8874568939209,-7.57395124435425,0.9048355,-0.005301289,0.009535416
"2.628 sec",-0.01215066,-0.1013258,2.776445,0.11623,2.25305247306824,2.8892297744751,-7.57426929473877,0.9049534,-0.008363263,0.008745056
"2.629 sec",-0.01216256,-0.1013244,2.776445,0.1159948,2.25428152084351,2.89100313186646,-7.57459115982056,0.905071,-0.01138647,0.007974296
"2.63 sec",-0.01217442,-0.101323,2.776445,0.1157603,2.25551056861877,2.89277648925781,-7.57491731643677,0.9051882,-0.01436547,0.007223414
"2.631 sec",-0.01218625,-0.1013216,2.776445,0.1155263,2.25673961639404,2.89455008506775,-7.57524728775024,0.9053052,-0.01729557,0.006492595
"2.632 sec",-0.01219806,-0.1013202,2.776445,0.1152928,2.25796890258789,2.89632391929626,-7.57558155059814,0.905422,-0.02017273,0.005781941
"2.633 sec",-0.01220984,-0.1013188,2.776445,0.11506,2.25919818878174,2.89809823036194,-7.57591962814331,0.9055384,-0.02299356,0.005091477
"2.634 sec",-0.01222159,-0.1013173,2.776445,0.1148276,2.26042747497559,2.89987254142761,-7.5762619972229,0.9056545,-0.02575518,0.004421163
"2.635 sec",-0.01223331,-0.1013159,2.776445,0.1145959,2.26165699958801,2.90164732933044,-7.57660818099976,0.9057704,-0.02845525,0.003770901
"2.636 sec",-0.012245,-0.1013145,2.776445,0.1143647,2.2628870010376,2.90342235565186,-7.57695865631104,0.905886,-0.03109188,0.003140536
"2.637 sec",-0.01225666,-0.1013131,2.776445,0.1141341,2.26411700248718,2.90519785881042,-7.57731342315674,0.9060013,-0.03366358,0.002529872
"2.638 sec",-0.01226829,-0.1013117,2.776445,0.113904,2.26534724235535,2.90697383880615,-7.57767200469971,0.9061164,-0.03616925,0.001938669
"2.639 sec",-0.01227991,-0.1013103,2.776445,0.1136744,2.26657772064209,2.90875005722046,-7.57803440093994,0.9062312,-0.03860811,0.001366651
"2.64 sec",-0.01229149,-0.1013089,2.776445,0.1134454,2.26780867576599,2.91052675247192,-7.57840156555176,0.9063457,-0.04097967,0.0008135136
"2.641 sec",-0.01230304,-0.1013075,2.776444,0.113217,2.26903986930847,2.91230392456055,-7.57877206802368,0.9064599,-0.04328374,0.0002789243
"2.642 sec",-0.01231457,-0.1013061,2.776444,0.1129891,2.27027153968811,2.91408157348633,-7.57914686203003,0.9065738,-0.04552035,-0.0002374718
"2.643 sec",-0.01232606,-0.1013047,2.776444,0.1127617,2.27150344848633,2.91585969924927,-7.5795259475708,0.9066875,-0.04768974,-0.0007360486
"2.644 sec",-0.01233753,-0.1013033,2.776444,0.1125349,2.27273607254028,2.91763830184937,-7.57990884780884,0.9068009,-0.04979234,-0.001217196
"2.645 sec",-0.01234897,-0.101302,2.776444,0.1123086,2.27396893501282,2.91941738128662,-7.58029556274414,0.9069141,-0.05182875,-0.001681315
"2.646 sec",-0.01236039,-0.1013006,2.776445,0.1120827,2.27520203590393,2.92119717597961,-7.58068704605103,0.907027,-0.05379973,-0.002128821
"2.647 sec",-0.01237178,-0.1012992,2.776444,0.1118575,2.27643585205078,2.92297744750977,-7.58108186721802,0.9071396,-0.05570615,-0.002560132
"2.648 sec",-0.01238315,-0.1012978,2.776444,0.1116327,2.27767014503479,2.92475843429565,-7.58148097991943,0.907252,-0.05754898,-0.002975675
"2.649 sec",-0.01239449,-0.1012964,2.776445,0.1114085,2.27890515327454,2.9265398979187,-7.58188438415527,0.9073641,-0.05932932,-0.003375881
"2.65 sec",0.006834641,-0.08632214,2.772388,0.1111847,2.28014039993286,2.92832183837891,-7.58229160308838,0.907476,-0.06104833,-0.00376118
"2.651 sec",0.03343211,-0.06561054,2.769503,0.1109614,2.28137636184692,2.93010473251343,-7.58270311355591,0.9075876,-0.06268273,-0.004100512
"2.652 sec",0.05969864,-0.04511899,2.769748,0.1107388,2.28261280059814,2.93188810348511,-7.5831184387207,0.907699,-0.06417912,-0.004324022
"2.653 sec",0.08557381,-0.02486,2.773001,0.1105169,2.2838499546051,2.93367218971252,-7.58353757858276,0.9078099,-0.06548177,-0.004358849
"2.654 sec",0.1012817,-0.01251488,2.776445,0.1102957,2.28508758544922,2.9354567527771,-7.58396100997925,0.9079205,-0.06654244,-0.004141917
"2.655 sec",0.1012803,-0.01252609,2.776444,0.1100752,2.28632593154907,2.93724226951599,-7.584388256073,0.9080307,-0.0673323,-0.003635159
"2.656 sec",0.1012789,-0.01253727,2.776445,0.1098552,2.28756499290466,2.93902850151062,-7.58481979370117,0.9081408,-0.06785923,-0.002847356
"2.657 sec",0.1012775,-0.01254842,2.776445,0.1096356,2.28880453109741,2.94081521034241,-7.58525514602661,0.9082506,-0.06815058,-0.00181197
